Date,Holiday,Type
2023-01-01,Capodanno,Civil
2023-01-06,Epifania del Signore,Religious
2023-04-09,Pasqua di Resurrezione,Religious
2023-04-10,Lunedì dell'Angelo,Religious
2023-04-25,Festa della Liberazione,Civil
2023-05-01,Festa dei Lavoratori,Civil
2023-06-02,Festa della Repubblica,Civil
2023-08-15,Assunzione della Vergine,Religious
2023-11-01,Tutti i Santi,Religious
2023-12-08,Immacolata Concezione,Religious
2023-12-25,Natale,Religious
2023-12-26,Santo Stefano,Religious
2024-01-01,Capodanno,Civil
2024-01-06,Epifania del Signore,Religious
2024-03-31,Pasqua di Resurrezione,Religious
2024-04-01,Lunedì dell'Angelo,Religious
2024-04-25,Festa della Liberazione,Civil
2024-05-01,Festa dei Lavoratori,Civil
2024-06-02,Festa della Repubblica,Civil
2024-08-15,Assunzione della Vergine,Religious
2024-11-01,Tutti i Santi,Religious
2024-12-08,Immacolata Concezione,Religious
2024-12-25,Natale,Religious
2024-12-26,Santo Stefano,Religious
2025-01-01,Capodanno,Civil
2025-01-06,Epifania del Signore,Religious
2025-04-20,Pasqua di Resurrezione,Religious
2025-04-21,Lunedì dell'Angelo,Religious
2025-04-25,Festa della Liberazione,Civil
2025-05-01,Festa dei Lavoratori,Civil
2025-06-02,Festa della Repubblica,Civil
2025-08-15,Assunzione della Vergine,Religious
2025-11-01,Tutti i Santi,Religious
2025-12-08,Immacolata Concezione,Religious
2025-12-25,Natale,Religious
2025-12-26,Santo Stefano,Religious
