Month,num_holidays,Civil,Religious,has_holiday,has_civil_holiday,has_religious_holiday
2023-01-01,2,1,1,1,1,1
2023-04-01,3,1,2,1,1,1
2023-05-01,1,1,0,1,1,0
2023-06-01,1,1,0,1,1,0
2023-08-01,1,0,1,1,0,1
2023-11-01,1,0,1,1,0,1
2023-12-01,3,0,3,1,0,1
2024-01-01,2,1,1,1,1,1
2024-03-01,1,0,1,1,0,1
2024-04-01,2,1,1,1,1,1
2024-05-01,1,1,0,1,1,0
2024-06-01,1,1,0,1,1,0
2024-08-01,1,0,1,1,0,1
2024-11-01,1,0,1,1,0,1
2024-12-01,3,0,3,1,0,1
2025-01-01,2,1,1,1,1,1
2025-04-01,3,1,2,1,1,1
2025-05-01,1,1,0,1,1,0
2025-06-01,1,1,0,1,1,0
2025-08-01,1,0,1,1,0,1
2025-11-01,1,0,1,1,0,1
2025-12-01,3,0,3,1,0,1
