Month,Dwellings,permits_lag1,permits_change,permits_pct_change,permits_rolling2,is_growth_quarter
1/1/19,13336,,,,,0
2/1/19,13336,,,,,0
3/1/19,13336,,,,,0
4/1/19,14045,13336,709,0.053164367126574685,13690.5,1
5/1/19,14045,13336,709,0.053164367126574685,13690.5,1
6/1/19,14045,13336,709,0.053164367126574685,13690.5,1
7/1/19,13412,14045,-633,-0.04506942,13728.5,0
8/1/19,13412,14045,-633,-0.04506942,13728.5,0
9/1/19,13412,14045,-633,-0.04506942,13728.5,0
10/1/19,14469,13412,1057,0.078810021,13940.5,1
11/1/19,14469,13412,1057,0.078810021,13940.5,1
12/1/19,14469,13412,1057,0.078810021,13940.5,1
1/1/20,11954,14469,-2515,-0.173819891,13211.5,0
2/1/20,11954,14469,-2515,-0.173819891,13211.5,0
3/1/20,11954,14469,-2515,-0.173819891,13211.5,0
4/1/20,10462,11954,-1492,-0.124811778,11208,0
5/1/20,10462,11954,-1492,-0.124811778,11208,0
6/1/20,10462,11954,-1492,-0.124811778,11208,0
7/1/20,12509,10462,2047,0.19566048556681315,11485.5,1
8/1/20,12509,10462,2047,0.19566048556681315,11485.5,1
9/1/20,12509,10462,2047,0.19566048556681315,11485.5,1
10/1/20,14175,12509,1666,0.1331841074426412,13342,1
11/1/20,14175,12509,1666,0.1331841074426412,13342,1
12/1/20,14175,12509,1666,0.1331841074426412,13342,1
1/1/21,14241,14175,66,0.004656085,14208,1
2/1/21,14241,14175,66,0.004656085,14208,1
3/1/21,14241,14175,66,0.004656085,14208,1
4/1/21,15311,14241,1070,0.075135173,14776,1
5/1/21,15311,14241,1070,0.075135173,14776,1
6/1/21,15311,14241,1070,0.075135173,14776,1
7/1/21,14497,15311,-814,-0.053164392,14904,0
8/1/21,14497,15311,-814,-0.053164392,14904,0
9/1/21,14497,15311,-814,-0.053164392,14904,0
10/1/21,15790,14497,1293,0.089190867,15143.5,1
11/1/21,15790,14497,1293,0.089190867,15143.5,1
12/1/21,15790,14497,1293,0.089190867,15143.5,1
1/1/22,16194,15790,404,0.025585813806206392,15992,1
2/1/22,16194,15790,404,0.025585813806206392,15992,1
3/1/22,16194,15790,404,0.025585813806206392,15992,1
4/1/22,17338,16194,1144,0.070643448,16766,1
5/1/22,17338,16194,1144,0.070643448,16766,1
6/1/22,17338,16194,1144,0.070643448,16766,1
7/1/22,12549,17338,-4789,-0.276214096,14943.5,0
8/1/22,12549,17338,-4789,-0.276214096,14943.5,0
9/1/22,12549,17338,-4789,-0.276214096,14943.5,0
10/1/22,13823,12549,1274,0.10152203362817747,13186,1
11/1/22,13823,12549,1274,0.10152203362817747,13186,1
12/1/22,13823,12549,1274,0.10152203362817747,13186,1
1/1/23,14492,13823,669,0.048397598205888626,14157.5,1
2/1/23,14492,13823,669,0.048397598205888626,14157.5,1
3/1/23,14492,13823,669,0.048397598205888626,14157.5,1
4/1/23,14648,14492,156,0.010764559757107328,14570,1
5/1/23,14648,14492,156,0.010764559757107328,14570,1
6/1/23,14648,14492,156,0.010764559757107328,14570,1
7/1/23,12400,14648,-2248,-0.15346805,13524,0
8/1/23,12400,14648,-2248,-0.15346805,13524,0
9/1/23,12400,14648,-2248,-0.15346805,13524,0
10/1/23,13769,12400,1369,0.11040322580645157,13084.5,1
11/1/23,13769,12400,1369,0.11040322580645157,13084.5,1
12/1/23,13769,12400,1369,0.11040322580645157,13084.5,1
